title,path,paths,call,date
궁모텔,전라북도 정읍시 연지시장2길 16 (연지동),전라북도 정읍시 연지동 29-25,063-533-7143,2021-01-15
알프스산장모텔,전라북도 정읍시 내장산로 915-16 (내장동),전라북도 정읍시 내장동 46-2,063-538-7937,2021-01-15
레이시모텔,전라북도 정읍시 신태인읍 평화3길 70,전라북도 정읍시 신태인읍 572-1,063-571-8046,2021-01-15
새암장여관,전라북도 정읍시 태평3길 13-16 (시기동),전라북도 정읍시 시기동 358-1,063-532-7115,2021-01-15
호텔그린토피아,전라북도 정읍시 내장산로 933-11 (내장동),전라북도 정읍시 내장동 46-8,,2021-01-15
시월애모텔,전라북도 정읍시 감곡면 금평로 86 (계룡리 32-7),전라북도 정읍시 감곡면 계룡리 32-7,063-543-6883,2021-01-15
부전파크장,전라북도 정읍시 순정로 2170 (부전동),전라북도 정읍시 부전동 884,063-536-6799,2021-01-15
세라톤모텔,전라북도 정읍시 내장산로 933-5 (내장동),전라북도 정읍시 내장동 46-5,063-538-1801,2021-01-15
힐하우스,전라북도 정읍시 입암면 정읍남로 331,전라북도 정읍시 입암면 323-1,063-534-0078,2021-01-15
서래원모텔,전라북도 정읍시 첨단과학로 766 (쌍암동),전라북도 정읍시 쌍암동 699-1,063-536-3377,2021-01-15
J 무인텔,전라북도 정읍시 내장산로 143 (금붕동),전라북도 정읍시 금붕동 511,063-536-6177,2021-01-15
텔리스모텔,전라북도 정읍시 중앙로 205 (상동),전라북도 정읍시 상동 564-8,063-533-8525,2021-01-15
뉴로조모텔,전라북도 정읍시 연지1길 56 (연지동),전라북도 정읍시 연지동 338-23,063-537-0030,2021-01-15
정인모텔,전라북도 정읍시 정읍사로 480 (신월동),전라북도 정읍시 신월동 285,063-531-0889,2021-01-15
무등파크장,전라북도 정읍시 부전안길 17 (부전동),전라북도 정읍시 부전동 894-11,063-536-0700,2021-01-15
파라다이스모텔,전라북도 정읍시 내장산로 941-9 (내장동),전라북도 정읍시 내장동 46-7,,2021-01-15
꿈의궁전모텔,전라북도 정읍시 관통로 27-71 (상동),전라북도 정읍시 상동 563-2,063-532-5005,2021-01-15
등대여인숙,전라북도 정읍시 연지1길 50 (연지동),전라북도 정읍시 연지동 304-1,,2021-01-15
코리아모텔,전라북도 정읍시 연지시장3길 50-12 (연지동),전라북도 정읍시 연지동 44-1,063-531-0693,2021-01-15
엘리제궁모텔,전라북도 정읍시 중앙로 196 (시기동),전라북도 정읍시 시기동 579-2,063-531-5946,2021-01-15
광명여인숙,전라북도 정읍시 연지시장1길 37 (연지동),전라북도 정읍시 연지동 29-22,063-531-3766,2021-01-15
스위스모텔,전라북도 정읍시 명륜길 9-5 (수성동),전라북도 정읍시 수성동 525-38,063-535-6658,2021-01-15
W 모텔,전라북도 정읍시 연지8길 4 (연지동),전라북도 정읍시 연지동 311-4,063-538-2224,2021-01-15
신라파크장,전라북도 정읍시 중앙2길 6 (수성동),전라북도 정읍시 수성동 543,063-531-6864,2021-01-15
보보스모텔,전라북도 정읍시 중앙로 14-1 (연지동),전라북도 정읍시 연지동 338-36,063-538-5278,2021-01-15
그리스모텔,전라북도 정읍시 수성2로 39-7 (수성동),전라북도 정읍시 수성동 1040-13,063-532-1143,2021-01-15
모텔소풍,전라북도 정읍시 연지시장2길 25 (연지동),전라북도 정읍시 연지동 322-7,063-538-3570,2021-01-15
한마음모텔,전라북도 정읍시 중앙2길 18 (수성동),전라북도 정읍시 수성동 582-9,063-531-7789,2021-01-15
로얄장,전라북도 정읍시 명륜길 11-15 (수성동),전라북도 정읍시 수성동 525-27,063-533-5414,2021-01-15
에덴파크,전라북도 정읍시 신태인읍 정신로 1170,전라북도 정읍시 신태인읍 239-2,063-571-1233,2021-01-15
수성휴모텔,전라북도 정읍시 수성2로 29 (수성동),전라북도 정읍시 수성동 919-7,063-533-9494,2021-01-15
V1모텔,전라북도 정읍시 첨단과학로 766 (쌍암동),전라북도 정읍시 쌍암동 699-5,063-538-5882,2021-01-15
V2모텔,전라북도 정읍시 첨단과학로 766 (쌍암동),전라북도 정읍시 쌍암동 699-3,063-538-5882,2021-01-15
뉴프린스관광모텔,전라북도 정읍시 연지7길 9 (연지동),전라북도 정읍시 연지동 339-1,063-534-6900,2021-01-15
뉴알프스관광모텔,전라북도 정읍시 수성2로 27-4 (수성동),전라북도 정읍시 수성동 919-8,063-535-8199,2021-01-15
모텔 아모르,"전라북도 정읍시 연지시장1길 22 (연지동, 322-9)",전라북도 정읍시 연지동 322-9,063-532-6022,2021-01-15
짝꿍무인텔,전라북도 정읍시 벚꽃로 32 (농소동),전라북도 정읍시 농소동 49-86,063-538-1124,2021-01-15
칸모텔,전라북도 정읍시 송산1길 220 (금붕동),전라북도 정읍시 금붕동 592-1,063-536-7707,2021-01-15
메세지모텔,전라북도 정읍시 명덕로 57 (연지동),전라북도 정읍시 연지동 329-9,063-536-5988,2021-01-15
썸드라이브인호텔-11,전라북도 정읍시 내장산로 122-10 (금붕동),전라북도 정읍시 금붕동 553-4,063-534-6999,2021-01-15
썸드라이브인호텔-1,전라북도 정읍시 내장산로 122-8 (금붕동),전라북도 정읍시 금붕동 553-1,063-534-6999,2021-01-15
필무인텔,전라북도 정읍시 북면 정읍북로 426,전라북도 정읍시 북면 한교리 418-2,063-536-2646,2021-01-15
헤라모텔,전라북도 정읍시 관통로 27-53 (상동),전라북도 정읍시 상동 563,063-714-4900,2021-01-15
호텔 프랑소와,전라북도 정읍시 관통로 41 (상동),전라북도 정읍시 상동 579-1,063-534-5300,2021-01-15
M7 무인텔,전라북도 정읍시 벚꽃로 111-7 (연지동),전라북도 정읍시 연지동 372,063-532-0007,2021-01-15
내장 여인숙,전라북도 정읍시 연지시장1길 62-29 (연지동),전라북도 정읍시 연지동 44-110,,2021-01-15
달밤여인숙,"전라북도 정읍시 연지1길 42-4, 은중여인숙 (연지동)",전라북도 정읍시 연지동 309-2 은중여인숙,,2021-01-15
명품무인텔,전라북도 정읍시 내장산로 92 (금붕동),전라북도 정읍시 금붕동 589,063-533-2200,2021-01-15
호텔로얄,"전라북도 정읍시 중앙로 170, 호텔로얄 (시기동)",전라북도 정읍시 시기동 361-2 호텔로얄,063-538-0500,2021-01-15
내장산골프&리조트,전라북도 정읍시 첨단과학로 476 (신정동),전라북도 정읍시 신정동 1632,063-570-7718,2021-01-15
캐슬무인호텔,전라북도 정읍시 내장산로 104 (금붕동),전라북도 정읍시 금붕동 539,063-536-0028,2021-01-15
방장산펜션모텔,전라북도 정읍시 입암면 정읍남로 241-12,전라북도 정읍시 입암면 연월리 179-3,,2021-01-15
S2 무인텔,"전라북도 정읍시 첨단과학로 342-5, S2무인텔 (신정동)",전라북도 정읍시 신정동 531-8 S2무인텔,,2021-01-15
S3 무인텔,전라북도 정읍시 첨단과학로 342-3 (신정동),전라북도 정읍시 신정동 531-9,,2021-01-15
S1 무인텔,전라북도 정읍시 첨단과학로 342-7 (신정동),전라북도 정읍시 신정동 531-5,,2021-01-15
명동산장펜션,전라북도 정읍시 내장산로 941-14 (내장동),전라북도 정읍시 내장동 71-5,063-538-8061,2021-01-15
달빛펜션모텔,전라북도 정읍시 내장호반로 572 (내장동),전라북도 정읍시 내장동 52-14,063-538-8186,2021-01-15
내장산 몽환의 숲 관광팬션,전라북도 정읍시 용산호반길 26-4 (신정동),전라북도 정읍시 신정동 1590 내장산리조트관광단지팬션,,2021-01-15
