업태,업  소  명,소   재   지,주요 취급품목,전화번호,데이터 기준일자
뷔페,미가,전라북도 정읍시 정읍사로 542 (시기동),뷔페,063-533-1600,2021-01-15
한식,현대옥정읍점,전라북도 정읍시 중앙1길 15 (수성동),"콩나물국밥, 돼지국밥",063-537-5789,2021-01-15
한식,정촌,전라북도 정읍시 중앙1길 169 (장명동),"한정식, 백반",063-537-7900,2021-01-15
한식,다복정,전라북도 정읍시 중앙2길 5-4 (수성동),"복탕, 아구탕",063-533-1977,2021-01-15
양식,라라코스트정읍수성점,"전라북도 정읍시 중앙로 113, 2층 (수성동)","까르보나라, 불고기필라프",063-535-3231,2021-01-15
한식,한우만,전라북도 정읍시 중앙로 208 (상동),"꽃등심, 갈비살",063-531-9221,2021-01-15
한식,복돼지삼겹살,전라북도 정읍시 중앙로 247 (상동),"삼겹살, 막창, 옻닭, 한방닭",063-537-3392,2021-01-15
한식,명물육개장,전라북도 정읍시 중앙로 4 (연지동),"육개장, 뼈전골",063-536-1255,2021-01-15
한식,단풍미인한우관,전라북도 정읍시 참단과학로 405 (신정동),"한우, 특등심",063-536-8855,2021-01-15
한식,거목정,전라북도 정읍시 충정로 229 (수성동),"소고기구이, 버섯불고기전골",063-532-7676,2021-01-15
한식,청하,전라북도 정읍시 충정로 71-5 (상동),"삼겹, 갈비",063-538-3900,2021-01-15
중식,정통중화요리삼팔공공,전라북도 정읍시 충정로 71-8 (상동),"깐소새우, 양장피",063-532-5959,2021-01-15
한식,뚝방가든,전라북도 정읍시 칠보면 원촌1길 46-3,자연산민물매운탕,063-534-5777,2021-01-15
한식,백학정,전라북도 정읍시 태인면 태인로 29-3,"떡갈비, 참게장",063-534-4290,2021-01-15
한식,너른마당,전라북도 정읍시 하신경10길 5 (상동),"추어탕, 묵은지닭볶음탕",063-532-7004,2021-01-15
중식,중화요리서울반점,전라북도 정읍시 하신경8길 32 (상동),"문어짬뽕, 코스요리",063-536-5306,2021-01-15
한식,예가,전라북도 정읍시 하신경9길 13 (상동),"오리묵은지, 삼계탕",063-538-9090,2021-01-15
한식,김원장,전라북도 정읍시 학산로 103-10 (상동),"약초백숙, 아구찜",063-536-2354,2021-01-15
한식,석쇠,전라북도 정읍시 한솔로 10 (상동),"장어, 돼지갈비",063-536-6616,2021-01-15
