자전거보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치년도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화정1동주민센터앞,광주광역시 서구 내방로338번길 11,,35.156352,126.877797,10,,, ,Y,,N,062-350-4382,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
화정2동주민센터앞,광주광역시 서구 화운로 94,,35.1572683,126.8763211,10,,, ,Y,,N,062-350-4402,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
화정3동주민센터앞,광주광역시 서구 월드컵4강로68번길 17,,35.1433475,126.876456,10,,, ,Y,,N,062-350-4422,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
화정4동주민센터앞,광주광역시 서구 염화로83번길 3,,35.141804,126.873788,10,,, ,Y,,N,062-350-4443,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
서창동주민센터앞,광주광역시 서구 눌재로 412,,35.1145216,126.8302885,10,,, ,Y,,N,062-350-4462,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
금호1동주민센터앞,광주광역시 서구 운천로31번길 17,,35.1351612,126.8571889,8,,, ,Y,,N,062-350-4482,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
금호2동주민센터앞,광주광역시 서구 풍금로 135,,35.1288650,126.8571913,7,,, ,Y,,N,062-350-4502,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
풍암동주민센터앞,광주광역시 서구 풍암1로 27,,35.124785,126.878693,10,,, ,Y,,N,062-350-4522,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
동천동주민센터앞,광주광역시 서구 유림로98번길 8,,35.170866895,126.864704,10,,, ,Y,,N,062-350-4601,광주광역시 서구청,2019-02-28,3600000,광주광역시 서구
도곡초등학교,전라남도 화순군 도곡면 천암1길 71,전라남도 화순군 도곡면 천암리 191,35.013417,126.908365,7,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
농협 주차장,전라남도 화순군 도곡면 효자1길 13,전라남도 화순군 도곡면 효산리 718-3,34.996487,126.9182198,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
도암중학교,전라남도 화순군 도암면 권동길 4-6,전라남도 화순군 도암면 원천리 829,34.9382395,126.895283,14,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
복지회관 앞,전라남도 화순군 도암면 천태로 417,전라남도 화순군 도암면 원천리 364-12,34.936189,126.897588,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
복지회관 우측,전라남도 화순군 춘양면 강변길 17-1,전라남도 화순군 춘양면 석정리 573-80,34.950474,126.9623004051,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
이양중학교 본관 뒷편,전라남도 화순군 이양면 이양로 100-35,전라남도 화순군 이양면 이양리 156-5,34.886085,126.992269,10,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
홍수 조절지 주차장,전라남도 화순군 청풍면 풍암리 93-3,전라남도 화순군 청풍면 풍암리 93-3,34.926872,126.984277,7,,단독형,Y,N,,N,061-379-3632,전라남도 화순군청,2019-10-08,4900000,전라남도 화순군
춘천소양강댐 입구 주차장,강원도 춘천시 신북읍 천전리 산 75-3,,37.937521,127.801541,10,,, ,N,,N,033-250-4271,춘천시 생활교통과,2020-07-14,4180000,강원도 춘천시
춘천시풍물시장 공영주차장 입구,강원도 춘천시 춘천로17번길 27,강원도 춘천시 온의동 587-4,37.8670349615,127.7190158436,52,,, ,N,,N,033-250-4271,춘천시 생활교통과,2020-07-14,4180000,강원도 춘천시
춘천도시공사,강원도 춘천시 삭주로 3,강원도 춘천시 교동 36,37.8818114039,127.7322723024,20,,, ,N,,N,033-250-4271,춘천시 생활교통과,2020-07-14,4180000,강원도 춘천시
연수문화원,비류대로,,37.3873922,126.6605083,1,,거치형, ,N,,N,032-749-8718,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
장애인물품판매시설장,벚꽃로,,37.3873922,126.6605083,1,,기타, ,N,,N,032-749-8717,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
노인복지회관,함박뫼로,,37.3873922,126.6605083,2,,기타, ,N,,N,032-749-8716,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
연수종합사회복지관,원인재로,,37.3873922,126.6605083,1,,거치형, ,N,,N,032-749-8715,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
여성의광장,앵고개로,,37.3873922,126.6605083,2,,기타, ,N,,N,032-749-8714,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
상이군경복지회관,앵고개로,,37.3873922,126.6605083,1,,기타, ,N,,N,032-749-8713,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
장애인복지관,앵고개로,,37.3873922,126.6605083,1,,기타, ,N,,N,032-749-8712,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
청학도서관,솔샘로,,37.3873922,126.6605083,1,,거치형, ,N,,N,032-749-8711,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
청소년 수련관 내,앵고개로,,37.3873922,126.6605083,1,,기타, ,N,,N,032-749-8710,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
자원봉사센터,한나루로,,37.3873922,126.6605083,1,,거치형, ,N,,N,032-749-8709,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
연수구 보건소,함박뫼로,,37.3873922,126.6605083,2,,거치형, ,Y,,N,032-749-8708,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
연수도서관,함박뫼로,,37.3873922,126.6605083,1,,기타, ,N,,N,032-749-8707,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
어린이도서관,먼우금로,,37.3873922,126.6605083,3,,기타, ,Y,,N,032-749-8706,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
인천우체국,함박뫼로,,37.3873922,126.6605083,2,,거치형, ,N,,N,032-749-8705,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
연수경찰서내,원인재로,,37.3873922,126.6605083,1,,거치형, ,N,,N,032-749-8704,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
옥련2동주민센터,옥련로,,37.3873922,126.6605083,2,,기타, ,Y,,N,032-749-8703,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
옥련1동주민센터,비류대로,,37.3873922,126.6605083,1,,기타, ,Y,,N,032-749-8702,인천광역시 연수구청,2020-07-14,3520000,인천광역시 연수구
상동고등학교,경기도 부천시 상이로 22,경기도 부천시 상2동 620-1,37.491001,126.744850,40,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
상일고등학교,경기도 부천시 부흥로 12,경기도 부천시 상2동 572-2,37.497916,126.743547,212,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
세이브존앞,경기도 부천시 길주로 105,경기도 부천시 상3동535-5,37.506326,126.754061,10,,휀스형,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
세이브존 계남큰길 변,경기도 부천시 갈주로 105,경기도 부천시 상3동535-5,37.506326,126.754061,35,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
석천초등학교,경기도 부천시 계남로 29,경기도 부천시 상3동 525-4,37.510390,126.752342,40,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
세이브존 계남큰길 변,경기도 부천시 길주로 105,경기도 부천시 상3동535-5,37.506326,126.754061,30,,휀스형,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
로얄타워,경기도 부천시 길주로 80,경기도 부천시 상2동 544-1,37.505196,126.751150,24,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
가나베스트타운,경기도 부천시 상동로 87,경기도 부천시 상2동 544-4,37.505164,126.752406,70,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
거제1동 주민센터,부산광역시 연제구 법원북로 88,부산광역시 연제구 거제동 1485-1,35.19185363,129.0756394,6,,,N,N,,N,051-665-5031,부산광역시 연제구청 교통행정과,2020-02-01,3370000,부산광역시 연제구
거제종합사회복지관 뒤,부산광역시 연제구 아시아드대로46번길 45,부산광역시 연제구 거제동 1179-4,35.18847416,129.0707016,10,,,N,N,,N,051-665-5031,부산광역시 연제구청 교통행정과,2020-02-01,3370000,부산광역시 연제구
도시철도 종합운동장역 2번출구,부산광역시 연제구 아시아드대로 지하 73(거제동),부산광역시 연제구 거제동 1191-2 (도시철도 종합운동장역),35.19127438,129.0675716,10,,,N,N,,N,051-665-5031,부산광역시 연제구청 교통행정과,2020-02-01,3370000,부산광역시 연제구
온천천 연안교 아래,부산광역시 연제구 반송로107,부산광역시 연제구 거제동 630,35.19286858,129.0899758,10,,,N,N,,N,051-665-5031,부산광역시 연제구청 교통행정과,2020-02-01,3370000,부산광역시 연제구
신현대빌딩,경기도 부천시 상일로144,경기도 부천시 상동442-4,37.490845,126.758279,20,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
장말문예사거리 홈플 앞,경기도 부천시 중동로143,경기도 부천시 중동771,37.492677,126.766539,10,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
박병환 법무사 사무실 앞,경기도 부천시 상일로120,경기도 부천시 상동 447,37.491149,126.755683,20,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
송내역 투나 앞 공원,경기도 부천시 송내대로66,경기도 부천시 상동454-3,37.489294,126.754482,47,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
본도시락 앞,경기도 부천시 부일로221번길 31,경기도 부천시 상동454,37.489908,126.754685,10,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
산업은행,경기도 부천시 송내대로88,경기도 부천시 상동 446,37.491110,126.754994,10,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
송내사회체육관,경기도 부천시 경인로134번길 72,경기도 부천시 송내2동457,37.482003,126.769084,20,,기타,Y,Y,수동식,N,032-625-6072,경기도 부천시청,2019-05-28,3860000,경기도 부천시
현대아파트,경기도 부천시 성주로 86-4,경기도 부천시 송내2동450-1,37.478773,126.765293,10,,기타,Y,N,,N,032-625-6072,경기도 부천시청,2019-05-28,3860000,경기도 부천시
삼익아파트,경기도 부천시 경인로134번길 27,경기도 부천시 송내2동580~607,37.482783,126.770428,40,,기타,Y,N,,N,032-625-6072,경기도 부천시청,2019-05-28,3860000,경기도 부천시
성라아파트,경기도 부천시 경인로170번길 34,경기도 부천시 송내2동596-4,37.482394,126.773838,20,,기타,Y,N,,N,032-625-6072,경기도 부천시청,2019-05-28,3860000,경기도 부천시
중동역 푸르지오 아파트,경기도 부천시 중동로 64,경기도 부천시 송내2동372,37.484837,126.765272,196,,기타,Y,N,,N,032-625-6072,경기도 부천시청,2019-05-28,3860000,경기도 부천시
복사초교 앞,경기도 부천시 소사본동404,경기도 부천시 소사본동404,37.480031,126.799892,7,,기타,Y,N,,N,032-625-6263,경기도 부천시청,2019-05-28,3860000,경기도 부천시
역곡남부역,,경기도 부천시 괴안동128-7,37.485059,126.812374,135,,기타,Y,N,,N,032-625-6395,경기도 부천시청,2019-05-28,3860000,경기도 부천시
역곡 홈플러스,경기도 부천시 경인로 532,경기도 부천시 괴안동129-1,37.484807,126.814255,28,,기타,N,N,,N,032-625-6395,경기도 부천시청,2019-05-28,3860000,경기도 부천시
국민은행 앞,경기도 부천시 역곡로474,경기도 부천시 고강본동347-4,37.526835,126.816395,10,,기타,N,N,,N,032-625-7074,경기도 부천시청,2019-05-28,3860000,경기도 부천시
괴안체육공원,,경기도 부천시 괴안동 262,37.476171,126.811078,10,,휀스형,Y,N,,N,032-625-4853,경기도 부천시청,2019-05-28,3860000,경기도 부천시
햇살공원,,경기도 부천시 범박동 232-8,37.468033,126.814520,10,,휀스형,Y,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
광장,,경기도 부천시 범박동 211-8,37.471547,126.813673,10,,휀스형,Y,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
소사대공원,경기도 부천시 소사로107,경기도 부천시 소사본동 334-3,37.480031,126.799892,28,,기타,N,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
성호아파트,경기도 부천시 경인로3번길 24,경기도 부천시 송내1동327-2,37.484163,126.755152,30,,기타,Y,N,,N,032-625-6072,경기도 부천시청,2019-05-28,3860000,경기도 부천시
상산공원,경기도 부천시 석천로356번길 31-5,경기도 부천시 삼정동 284,37.518667,126.767498,17,,기타,N,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
내촌공원,경기도 부천시 부천로430,경기도 부천시 내동 294,37.522312,126.785391,17,,기타,N,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
누른말,,경기도 부천시 오정동 764,37.528322,126.795928,7,,기타,N,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
작동,,경기도 부천시 작동 10-3,37.519301,126.815236,18,,휀스형,Y,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
여월체육공원,,경기도 부천시 여월동 321,37.514320,126.803890,17,,기타,N,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
원종공원,경기도 부천시 삼작로416번길 40,경기도 부천시 원종동 358,37.518250,126.807640,10,,기타,N,N,,N,032-625-4854,경기도 부천시청,2019-05-28,3860000,경기도 부천시
상일중학교,경기도 부천시 조마루로 69,경기도 부천시 상2동 550-4,37.501424,126.751484,100,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
상원초등학교,경기도 부천시 부흥로 93,경기도 부천시 상2동 570-7,37.498012,126.753396,50,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
상2동홈플러스,경기도 부천시 길주로 118,경기도 부천시 상2동 540,37.499435,126.751687,116,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
상2동 소풍,경기도 부천시 송내대로 239,경기도 부천시 상2동 539,37.496434,126.749928,150,,기타,N,N,,N,032-625-5884,경기도 부천시청,2019-05-28,3860000,경기도 부천시
벌말어린이공원,경기도 성남시 분당구 미금일로 86번길 24-9,경기도 성남시 분당구 구미동 51,37.347481,127.110981,2,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
구미1동 주민센터,경기도 성남시 분당구 돌마로90번길 8,경기도 성남시 분당구 구미동 26,37.349237,127.111749,3,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
엘레강스 앞(구 씨티은행 앞),경기도 성남시 분당구 내정로166번길 7-6,경기도 성남시 분당구 수내동 56,37.349606,127.111215,1,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
동보의료기앞(미금역3번출구 부근),경기도 성남시 분당구 돌마로 80,경기도 성남시 분당구 구미동 24-1,37.379935,127.110012,1,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
불곡고교,경기도 성남시 분당구 금곡로 149,경기도 성남시 분당구 구미동 91,37.347747,127.119175,5,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
불곡중학교,경기도 성남시 분당구 금곡로 139,경기도 성남시 분당구 구미동 92,37.344097,127.126281,11,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
낙생농협 앞,경기도 성남시 분당구 판교원로 255,경기도 성남시 분당구 판교동 638,37.390807,127.096268,1,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
미금역 4번출구,경기도 성남시 분당구 돌마로 68,경기도 성남시 분당구 구미동 23-1,37.349371,127.109129,5,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
미금역 5번출구,경기도 성남시 분당구 성남대로 151,경기도 성남시 분당구 구미동 9-1,37.349405,127.108673,1,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
미금역 6번출구,경기도 성남시 분당구 성남대로 151,경기도 성남시 분당구 구미동 9-1,37.349817,127.108233,2,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
미금역 3번출구,경기도 성남시 분당구 돌마로 68,경기도 성남시 분당구 구미동 23-1,37.349854,127.109491,3,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
미금교 밑(탄천좌안),경기도 성남시 분당구 금곡로 139,경기도 성남시 분당구 구미동 92,37.348958,127.111707,1,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
미금초교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,37.347747,127.115877,13,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
구미동물놀이장,경기도 성남시 분당구 금곡로 149,경기도 성남시 분당구 구미동 91,37.392103,127.092728,2,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
광암사거리(판교원마을902동 앞),경기도 성남시 분당구 서판교로 29,경기도 성남시 분당구 판교동 585,37.388509,127.100825,1,2010,단독형,Y,Y,기계식,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
판교도서관,경기도 성남시 분당구 운중로225번길 37,경기도 성남시 분당구 판교동 553,37.391963,127.090282,5,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
판교청소년수련관,경기도 성남시 분당구 운중로225번길 37,경기도 성남시 분당구 판교동 553,37.392158,127.090772,3,2010,단독형,Y,Y,기계식,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
판교동주민센터,경기도 성남시 분당구 서판교로32번길 9,경기도 성남시 분당구 판교동 575,37.389848,127.098542,1,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
판교초교,경기도 성남시 분당구 판교원로 231,경기도 성남시 분당구 판교동 636,37.386821,127.091354,5,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
성현교회앞,경기도 성남시 분당구 운중로 246,경기도 성남시 분당구 판교동 627,37.389397,127.083191,1,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
이수프라자 앞 인도,경기도 성남시 분당구 서판교로 40,경기도 성남시 분당구 판교동 577-1,37.390111,127.097861,1,2017,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
삼평어린이공원,경기도 성남시 분당구 대왕판교로644번길 49,경기도 성남시 분당구 삼평동 676,37.399441,127.115079,1,2010,단독형,Y,Y,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
삼평중학교 내,경기도 성남시 분당구 대왕판교로644번길 77,경기도 성남시 분당구 삼평동 727,37.399741,127.114758,14,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
삼평중학교 옆,경기도 성남시 분당구 대왕판교로644번길 77,경기도 성남시 분당구 삼평동 727,37.399736,127.114841,2,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
수질복원센터(새미래광장),경기도 성남시 분당구 판교로228번길 51,경기도 성남시 분당구 삼평동 634,37.398102,127.102592,1,2010,단독형,Y,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
봇들마을 8단지 옆(나들이공원 방향),경기도 성남시 분당구 동판교로 153,경기도 성남시 분당구 삼평동 742,37.405976,127.107223,1,2010,거치형,N,Y,태양광식,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
나들이공원 엘리베이터 앞(삼평중 옆),경기도 성남시 분당구 대왕판교로644번길 77,경기도 성남시 분당구 삼평동 727,37.400713,127.115858,2,2010,거치형,N,N,,N,031-729-3302,성남시청,2020-06-30,3780000,경기도 성남시
천안아산역 기계식 자전거주차장,충청남도 아산시 배방읍 희망로 100,충청남도 아산시 배방읍 장재리 364-4,36.795407,127.104344,162,2012,단독형,Y,Y,수동식,N,041-540-2960,충청남도 아산시청,2020-07-13,4520000,충청남도 아산시
엘리타워,경기도 부천시 부일로293,경기도 부천시 상동318-5,37.488577,126.762649,10,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
국민은행,경기도 부천시 상일로96,경기도 부천시 상동401,37.491279,126.752863,20,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
반달빌딩,경기도 부천시 송내대로73번길 42,경기도 부천시 상동407-2,37.490451,126.751799,19,,거치형,N,N,,N,032-625-5513,경기도 부천시청,2019-05-28,3860000,경기도 부천시
계명네거리 서편 대구은행 앞,대구광역시 중구 명덕로 107,,35.8569053,128.5821605,6,,,,N,,N,053-661-2916,대구광역시 중구청,2019-06-18,3410000,대구광역시 중구
동산네거리 북서편 대구은행 앞,대구광역시 중구 중앙대로 425,,35.8712241058,128.5937643623,8,,,,N,,N,053-661-2916,대구광역시 중구청,2019-06-18,3410000,대구광역시 중구
창경궁 홍화문 옆,"서울특별시 종로구 창경궁로 185, 창경궁 (와룡동)",서울특별시 종로구 와룡동 2-1 창경궁,37.580230,126.996200,6,2015,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,3000000,서울특별시 종로구
종묘주차장 옆,"서울특별시 종로구 동순라길 14, 대웅한의원 (인의동)",서울특별시 종로구 인의동 113 대웅한의원,37.571500,126.996400,7,1998,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,3000000,서울특별시 종로구
