업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
나인렌터카,영업소,"인천광역시 남동구 논현로46번길 22, 코아루파크 제비동 2004호",,37.401410,126.7104005832,인천광역시 연수구 테크노파크로 164,,,71,69,2,0,0,,,,,,,,09:00,18:00,,,,,,,,031-907-7797,2020-05-26,3940000,경기도 고양시
나인렌터카,영업소,"경기도 고양시 일산동구 백마로 195, 2163호(장항동 일산방송 COMPLEX 제2층)",,37.6542862944,126.7709830358,경기도 파주시 책향기로 423 두손비채주차타워,,,12,12,0,0,0,,,,,,,,09:00,18:00,,,,,,,,031-907-7797,2020-05-26,3940000,경기도 고양시
뉴삼우렌트카,주사업장,"경기도 고양시 덕양구 원당로59번길 50-15, 101동 102호",,37.66010564,126.832581,"경기도 고양시 덕양구 중앙로 557번길 18, 4층",,,27,26,1,0,0,,,,,,,,09:00,19:00,,,,,,,,031-969-0772,2020-05-26,3940000,경기도 고양시
뉴삼우렌트카,영업소,"경기도 고양시 덕양구 화신로 260번길 74, 207호",,37.63418774,126.8337969,"경기도 고양시 덕양구 중앙로 557번길 18, 4층",,,25,21,4,0,0,,,,,,,,09:00,19:00,,,,,,,,031-969-0772,2020-05-26,3940000,경기도 고양시
뉴삼우렌트카,영업소,경기도 김포시 김포대로 1055,,37.630949,126.7041197,경기도 김포시 하성면 원산리 296-12,,,10,10,0,0,0,,,,,,,,09:00,19:00,,,,,,,,031-969-0772,2020-05-26,3940000,경기도 고양시
뉴삼우렌트카,영업소,"인천광역시 서구 봉수대로 251, 1층 106호",,37.49797019,126.6610801,인천광역시 부평구 경원대로 1154,,,10,10,0,0,0,,,,,,,,09:00,19:00,,,,,,,,031-969-0772,2020-05-26,3940000,경기도 고양시
리베렌트카,주사업장,"경기도 고양시 덕양구 중앙로 557번길18, 1층 110호",,37.62303798,126.834286,"경기도 고양시 덕양구 도래울2로 3, 원흥주차타워4층 외 2곳",,,48,48,0,0,0,,,,,,,,09:00,21:00,,,,,,,,031-974-5112,2020-05-26,3940000,경기도 고양시
리베렌트카,영업소,"경기도 부천시 소향로37번길 19, 402호",,37.5043721591,126.7514418641,"경기도 부천시 원미구 소향로 37번길 19, 402호",,,14,14,0,0,0,,,,,,,,09:00,21:00,,,,,,,,031-974-5112,2020-05-26,3940000,경기도 고양시
브이아이피렌터카,주사업장,"경기도 고양시 일산서구 중앙로1560-34, 대화주차장 9층",,37.6769173,126.7475604,"경기도 고양시 일산서구 중앙로 1560-34,9층",,,49,45,4,0,0,,,,,,,,08:30,19:00,,,,,,,,031-914-7711,2020-05-26,3940000,경기도 고양시
브이아이피렌터카,영업소,"경기도 고양시 일산동구 호수로 662, 219호",,37.6607003,126.7658681,"경기도 고양시 일산서구 중앙로 1560-34,9층",,,7,7,0,0,0,,,,,,,,08:30,19:00,,,,,,,,031-914-7711,2020-05-26,3940000,경기도 고양시
브이아이피렌터카,영업소,"경기도 화성시 동탄문화센터로 65, 115호",,37.1999049,127.0725686,"경기도 화성시 동탄문화센터로 65, 지하2층",,,11,11,0,0,0,,,,,,,,08:30,19:00,,,,,,,,031-914-7711,2020-05-26,3940000,경기도 고양시
아시아렌터카,주사업장,"경기도 고양시 덕양구 용현로 3, 508호",,37.6130749224,126.8356271659,경기도 고양시 일산서구 강성로 11 외 1곳,,,57,56,1,0,0,,,,,,,,09:00,20:00,,,,,,,,031-979-8600,2020-05-26,3940000,경기도 고양시
아시아렌터카,영업소,"서울특별시 마포구 굴레방로1길 25, 애오개아이파크 제지3층 제상가102호",,37.55384177,126.9559856,"서울특별시 성북구 오패산로10길 30, 하월곡영광프라자 주차장 외 곳",,,23,22,1,0,0,,,,,,,,09:00,20:00,,,,,,,,031-979-8600,2020-05-26,3940000,경기도 고양시
아시아렌터카,영업소,"경기도 고양시 일산동구 고풍로43번길 33, 가동 201호",,37.66133199,126.7944804,경기도 고양시 일산서구 강성로 115,,,7,7,0,0,0,,,,,,,,09:00,20:00,,,,,,,,031-979-8600,2020-05-26,3940000,경기도 고양시
(주)래디우스랩 화성태안12 영업소,영업소,경기도 화성시 병점4로 103,경기도 화성시 진안동 910,37.2181893636,127.0393854255,경기도 화성시 병점4로 103 화성태안12단지 1209동 앞,,,1,1,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 용인동백벽현마을9 영업소,영업소,경기도 용인시 기흥구 동백8로131번길 20,경기도 용인시 기흥구 동백동 584,37.2833618682,127.1665214105,경기도 용인시 기흥구 동백동 584 용인동백 백현마을9단지 2909동 앞,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 시흥능곡9 영업소,영업소,경기도 시흥시 능곡중앙로 34,경기도 시흥시 능곡동 787,37.3669757743,126.8126675968,경기도 시흥시 능곡동 787 시흥능곡9단지 903동 1층,,,2,2,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 성남판교봇들마을6 영업소,영업소,경기도 성남시 분당구 동판교로 212,경기도 성남시 분당구 삼평동 728,37.4017962031,127.1175416380,경기도 성남시 분당구 동판교로 212 성남판교 봇들마을6단지 604동 옆,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 성남판교봇들마을3 영업소,영업소,경기도 성남시 분당구 동판교로 225,경기도 성남시 분당구 삼평동 722,37.4029129843,127.1137999833,경기도 성남시 분당구 동판교로 225 성남판교 봇들마을3단지 커뮤니티센터1층,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 성남도촌섬마을9 영업소,영업소,경기도 성남시 중원구 도촌남로 148,경기도 성남시 중원구 도촌동 708,37.4121065870,127.1634741962,경기도 성남시 중원구 도촌남로 148 성남도촌 섬마을9단지 901동 1층,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 성남도촌섬마을8 영업소,영업소,경기도 성남시 중원구 도촌남로 134,경기도 성남시 중원구 도촌동 707,37.4129311241,127.1593716419,경기도 성남시 중원구 도촌남로 134 성남도촌 섬마을8단지 802동 지하,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 성남분당하얀6 영업소,영업소,경기도 성남시 분당구 미금일로 57,경기도 성남시 분당구 구미동 112,37.3453073320,127.1136827458,경기도 성남시 분당구 미금일로 57 분당 하얀6단지 609동앞,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 수원호매실5 영업소,영업소,경기도 수원시 권선구 금곡로 46,경기도 수원시 권선구 금곡동 1081,37.2713934813,126.9391637483,경기도 수원시 권선구 금곡로 46 호매실휴먼시아5단지 512동 1층,,,1,1,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 남양주진접17단지 영업소,영업소,경기도 남양주시 진접읍 해밀예당3로 37,경기도 남양주시 진접읍 금곡리 1098,37.7135482703,127.1961358922,경기도 남양주시 진접읍 금곡리 1098 남양주진접17단지 1707동 앞,,,1,1,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 인현논현범마을2 영업소,영업소,인천광역시 남동구 은봉로166번길 27,인천광역시 남동구 논현동 643-1,37.4033362319,126.7096944624,인천광역시 남동구 은봉로166번길 27  논현 범마을2단지 209동 1층,,,5,5,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 인천삼산3지구1 영업소,영업소,인천광역시 부평구 영성동로18번길 19,인천광역시 부평구 삼산동 512,37.5199264771,126.7480630964,인천광역시 부평구 삼산동 512 삼산3휴먼시아1단지 103동앞 2,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 인천삼산1 영업소,영업소,인천광역시 부평구 평천로 447,인천광역시 부평구 삼산동 157,37.5179606782,126.7404914705,인천광역시 부평구 삼산동 157 삼산단지 105동 옆,,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)래디우스랩 인천소래3 영업소,영업소,인천광역시 남동구 앵고개로815번길 22,인천광역시 남동구 논현동 740-2,37.3981602031,126.7247871004,인천광역시 남동구 논현동 740-2 소래휴먼시아3단지 지하,,,1,1,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주)탑서비스,주사업장,서울특별시 중구 동호로7길 17,서울특별시 중구 신당동 372-49,37.5529976510,127.0110910788,"서울특별시 중구 동호로7길 17, 514호(신당동,엠마누엘빌딩)",,,68,68,0,0,0,,,,,,,,09:00,19:00,,,,,,,,02-2234-5959,2020-10-07,1613000,국토교통부
(주) 바다,주사업장,서울특별시 중구 동호로7길 17,서울특별시 중구 신당동 372-49,37.5529976510,127.0110910788,"서울특별시 중구 동호로7길 17, 509호(신당동, 임마누엘빌딩)",,,50,50,0,0,0,,,,,,,,09:00,19:00,,,,,,,,000-0000-0000,2020-10-07,1613000,국토교통부
(주) 바다 나비영업소(일산),영업소,대전광역시 대덕구 대화로 120,대전광역시 대덕구 대화동 290-19,36.3667554049,127.4071902470,"대전광역시 대덕구 대화로 120, 자유로프라자 제116조",,,0,0,0,0,0,,,,,,,,09:00,19:00,,,,,,,,02-379-3334,2020-10-07,1613000,국토교통부
(합)경기렌트카,주사업장,"경기도 포천시 호국로 634, 솔모루타운 나-107",경기도 포천시 소흘읍 송우리 464,37.8252405021,127.147126,경기도 포천시 호국로 623-12,,100,100,96,4,0,0,50000,60000,80000,450000,150000,,,09:00,20:00,09:00,20:00,09:00,20:00,매주 일요일,,안대현,031-541-2032,2020-06-05,5600000,경기도 포천시
㈜유렌트카,주사업장,경상북도 경산시 중방로 21,,35.830469,128.7365913,,경상북도 경산시 남산면 상대리 575,,70,62,8,0,0,,,,,,,,09:00,23:00,,,,,,,,053-811-8888,2020-10-26,5130000,경상북도 경산시
㈜건일렌터카,주사업장,경상북도 경산시 하양읍 대경로 686,,35.9090805,128.816409,경상북도 경산시 조영길 7-4,,,68,64,4,0,0,,,,,,,,09:00,23:00,,,,,,,,053-851-0020,2020-10-26,5130000,경상북도 경산시
㈜국제렌트카,영업소,경상북도 경산시 진량읍 대구대로 224(1층),,35.896767,128.847575,,경상북도 경산시 남산면 상대리 575,,14,11,3,0,0,,,,,,,,09:00,23:00,,,,,,,,053-856-9600,2020-10-26,5130000,경상북도 경산시
㈜뉴그린렌트카,영업소,경상북도 경산시 대학로 205,,35.83450277,128.745358,경상북도 경산시 대학로 205,,,16,16,0,0,0,,,,,,,,09:00,23:00,,,,,,,,053-811-0854,2020-10-26,5130000,경상북도 경산시
㈜새한글로벌렌트카,영업소,경상북도 경산시 진량읍 대학로 1394,,35.90348031,128.824932,"경상북도 경산시 진량읍 대학로 1394, 대구광역시 달성군 화원읍 설화본길 42-12",,,60,52,8,0,0,,,,,,,,09:00,23:00,,,,,,,,053-852-5900,2020-10-26,5130000,경상북도 경산시
㈜쏘카,영업소,경상북도 경산시 경청로 219길 4-6(3층),,35.803659,128.738237,경상북도 경산시 경청로 219길 4-6 3층,,,42,42,0,0,0,,,,,,,,09:00,23:00,,,,,,,,02-1661-3315,2020-10-26,5130000,경상북도 경산시
㈜전연령렌트카,영업소,"경상북도 경산시 대학로 324, 경상북도 경산시 하양읍 대경로 686",,35.83876212,128.756838,,경상북도 경산시 조영동 346-3,,0,0,0,0,0,,,,,,,,09:00,23:00,,,,,,,,053-818-8777,2020-10-26,5130000,경상북도 경산시
㈜토탈렌트카,영업소,"경상북도 경산시 대학로 324, 경상북도 경산시 하양읍 대경로 686",,35.83876212,128.756817,,경상북도 경산시 조영동 346-3,,0,0,0,0,0,,,,,,,,09:00,23:00,,,,,,,,053-851-0020,2020-10-26,5130000,경상북도 경산시
㈜한지렌트카,영업소,경상북도 경산시 중방로 22,,35.82975893,128.736409,,경상북도 경산시 중방동 22,,46,38,8,0,0,,,,,,,,09:00,23:00,,,,,,,,053-802-5222,2020-10-26,5130000,경상북도 경산시
㈜한진렌트카,영업소,경상북도 경산시 진량읍 대학로 1394 (305호),,35.90348031,128.824967,,"경상북도 경산시 자인면 신관리 454, 455, 경상북도 경산시 진량읍 대학로 1401, 경상북도 경산시 중방동 835-5",,34,33,1,0,0,,,,,,,,09:00,23:00,,,,,,,,053-851-1725,2020-10-26,5130000,경상북도 경산시
고려렌트카㈜,영업소,경상북도 경산시 강변동로 260,,35.832834,128.734067,,"경상북도 경산시 중방동 180-3, 경상북도 경산시 중방동 222-1, 경상북도 경산시 중방동 222-3, 경상북도 경산시 중방동 800-77",,11,2,5,0,0,,,,,,,,09:00,23:00,,,,,,,,053-812-8811,2020-10-26,5130000,경상북도 경산시
